tweet_id,created_at,text,favorite_count,retweet_count,followers_count,screen_name
985761066918363137,2018-04-16 06:05:27,RT  Y’all go see Rampage That movie is incredible I laughed amp cried not many movies can make me do that Incredible…,0,18,12822952,TheRock
985744155790819328,2018-04-16 04:58:15,Thx dude appreciate you loving RAMPAGE I’m dope as hell in person but slightly complicated when I go past 7 shots…,1513,123,12822952,TheRock
985740896351076353,2018-04-16 04:45:18,Haha your little dude already swinging like a warrior Awesome stuff My lil gal has the same sword and…,199,6,12822952,TheRock
985717561323962368,2018-04-16 03:12:35,Thx dude glad you and pops had a cool time at the movies My goal was to make a big fun ride with action intensit…,1243,86,12822952,TheRock
985692586093391872,2018-04-16 01:33:20,Haha brother the love and admiration is mutual Mahalo to you and the kids for seeing RAMPAGE Drinks and dinner on…,1769,131,12822952,TheRock
985685735301763072,2018-04-16 01:06:07,THANK U so much everyone ‘round the for making RAMPAGE a strong 1 MOVIE IN THE WORLD 150M weekend and my bigge…,4022,379,12822952,TheRock
985682481956270082,2018-04-16 00:53:11,Thank you sir for the kind words Audiences are loving the movie and in the end that’s always my 1 goal…,904,78,12822952,TheRock
985680148912459776,2018-04-16 00:43:55,He’s a total bad ass dude Big time horror and monster fan,87,5,12822952,TheRock
985678404598018049,2018-04-16 00:36:59,Imagine being a 12yr old boy who goes to see RAMPAGE with his family on his BIRTHDAY THEN…,2919,228,12822952,TheRock
985676837698256896,2018-04-16 00:30:45,Thank ya man Cheering kids is indeed what it’s all about It’s also about therapy and tequila but that’s for anot…,961,84,12822952,TheRock
985674600301248512,2018-04-16 00:21:52,“Eeriencing” me on the biggest screen possibly sounds a little but with tequila I’ll try anything lol Thank…,1145,114,12822952,TheRock
985673261861158912,2018-04-16 00:16:33,Surprised a 2nd theater THANK YOU worldwide for the RAMPAGE luv HometownLuv CityOfAngels 1MovieInTheWorld…,1377,154,12822952,TheRock
985672764366340096,2018-04-16 00:14:34,As promised I surprised two sold out theaters in LA to show the fans my gratitude and love for making RAMPAGE the …,2352,248,12822952,TheRock
985609783066558464,2018-04-15 20:04:18,When you smilin’ when you’re smilin’ the whole world smiles with youuuu,6211,573,12822952,TheRock
985593587881537536,2018-04-15 18:59:57,176 compliments is too much dude I feel like I owed you money in a past life Thx man and that lil’ doggy now…,1238,102,12822952,TheRock
985592651767361536,2018-04-15 18:56:14,I absolutely love everything about this Including this lovely young lady Katie Unfortunately I’ll be shooting m…,4567,410,12822952,TheRock
985577603644833792,2018-04-15 17:56:26,What an outstanding opening weekend as RAMPAGE kisses almost 150million worldwide 1 movie in the world and the…,5169,556,12822952,TheRock
985430393959534592,2018-04-15 08:11:28,Yes sir families all around the world are shocked at how emotional the movie gets We pull you in Thrilled…,2377,212,12822952,TheRock
985429126822506496,2018-04-15 08:06:26,Always gotta take care of our mamas TheaterSurprise LA RAMPAGE,1849,133,12822952,TheRock
985428879018885120,2018-04-15 08:05:27,RT  When surprises the audience  If you haven’t yet checked out Rampage must see Burbank,0,157,12822952,TheRock
985428827609300995,2018-04-15 08:05:15,RT  Went to the theatre to watch and SURPRISE SHOWED UP Great movie go watch it It’s g…,0,78,12822952,TheRock
985420290585853952,2018-04-15 07:31:20,Glad you loved the movie and love ya back Steph I’m like a 12yr old boy cause I get way too excited surprising you…,1455,113,12822952,TheRock
985419730310713344,2018-04-15 07:29:06,You guys are the BEST Always putting out positive vibes to the world That kinda stuff matters brother Much love…,2034,160,12822952,TheRock
985331041568043008,2018-04-15 01:36:41,RAMPAGE SURPRISE Stand up LOS ANGELESJust pulled my big ass country pick up truck in this loading dock getting r…,5761,523,12822952,TheRock
985312030667161600,2018-04-15 00:21:08,RT  Get ready LA cinemas We are popping into surprise some very unsuspecting fans tonight Rampage https…,0,56,12822952,TheRock
985311942137995264,2018-04-15 00:20:47,RT  Watch out LA might roll up on your RampageMovie theater tonight,0,54,12822952,TheRock
985311932285468672,2018-04-15 00:20:45,RT  Get ready Los Angeles is in a great mood and on the move in his big badass truck…,0,55,12822952,TheRock
985311876396429313,2018-04-15 00:20:32,“Epically entertaining get your popcorn and enjoy the ride” Thanks for the RAMPAGE review 🤙,2700,269,12822952,TheRock
985295913143840768,2018-04-14 23:17:06,RAMPAGE FAN SURPRISE TONIGHT Get your popcorn and phones ready LA I’m coming to surprise you and your families…,6942,729,12822952,TheRock
985295044239216640,2018-04-14 23:13:39,Enjoy the insanely fun ride dude And don’t worry if you’re cry at the end because I will of course send you h…,1234,86,12822952,TheRock
985294193697341440,2018-04-14 23:10:16,Always good to be in my home away from home brotha Especially looking beat up to shit lol TIMES SQUARE TAKEOVER…,1591,117,12822952,TheRock
985263232087621632,2018-04-14 21:07:14,One big ass global package of RAMPAGE as we’re smashing our way to become the 1 movie in the…,2817,212,12822952,TheRock
985263148247597056,2018-04-14 21:06:54,Thank ya man Ive always felt this from day 1 that my greatest relationship is and will always be with the people…,1690,120,12822952,TheRock
985262017740079104,2018-04-14 21:02:24,RT  With audiences going ape for RampageMovie has a lot to be excited about,0,134,12822952,TheRock
985261079830773760,2018-04-14 20:58:41,Such a thoughtful Rampage review and yes diversity and strong smart female leads is always myself and our…,1378,150,12822952,TheRock
985224682113658881,2018-04-14 18:34:03,RT  Only two stars this bad ass could look this cool after being put through the third act grinder The fina…,0,101,12822952,TheRock
985224634227343360,2018-04-14 18:33:52,Thx dude Glad you loved the movie I still low key think it’s Oscar bait lol,422,16,12822952,TheRock
985224503968972800,2018-04-14 18:33:20,RT  Just saw Rampage Its really good If youre looking for an Oscars flick This aint it But its fun Violent Had so…,0,51,12822952,TheRock
985221261914615808,2018-04-14 18:20:28,Ahhh an A from the people for RAMPAGE  Ladies and gents the 1 metric of our movie biz is the score the audi…,2517,258,12822952,TheRock
985213502578044928,2018-04-14 17:49:38,Thank you sir for the kind words I just watched RAMPAGE on an IMAX screen and realized I also continue to prove I…,7396,763,12822952,TheRock
985191775995215872,2018-04-14 16:23:18,One of my heroes Pleasure would be all mine my friend make something happen boys I still…,5142,407,12822952,TheRock
984990515996180480,2018-04-14 03:03:33,RT  Love this and that but mostly him,0,1832,12822952,TheRock
984926217362063360,2018-04-13 22:48:03,Thank ya man Glad you had a blast watching RAMPAGE And ironically enough “Dwayne ya did it again” usually meant…,2109,192,12822952,TheRock
984887124771069952,2018-04-13 20:12:43,Wow An outstanding first day in CHINA for RAMPAGE Meanwhile here in the states I’m doing box office battle with m…,2773,275,12822952,TheRock
984886012257091584,2018-04-13 20:08:18,Hahah my best friend George has the sense of humor of a 14yr old boy And that means A LOT of things  Glad you ha…,1213,111,12822952,TheRock
984885602448322560,2018-04-13 20:06:40,Thank you for the positive RAMPAGE review You’re spot on never go into a movie like RAMPAGE over intell…,1346,136,12822952,TheRock
984883887019978752,2018-04-13 19:59:51,Thank you for the positive RAMPAGE review and kind words about the big brown bald tattooed leading man who…,1820,223,12822952,TheRock
984864074742759424,2018-04-13 18:41:07,Bull’s horns just landed from London 5am and had to come right to my gym The hell with it I’ll…,2061,159,12822952,TheRock
984863391285063680,2018-04-13 18:38:25,Glad you loved RAMPAGE And I mean I really know how to kick an interview off on the right foot,1101,81,12822952,TheRock
984862657369980929,2018-04-13 18:35:30,Well tbh more like “Rock getting his ass kicked the whole movie by gigantic monsters” but hey I’M READY ‍️…,1155,105,12822952,TheRock
984862184843894784,2018-04-13 18:33:37,Atta boy Glad you loved RAMPAGE,1271,117,12822952,TheRock
984852480587513856,2018-04-13 17:55:03,Wow Very cool RAMPAGE news Not pointing to the scoreboard yet but it seems we may have finally broken the dreade…,21848,3471,12822952,TheRock
984849422155567104,2018-04-13 17:42:54,Was a very successful and tiring tour I had the pleasure of meeting a lot of good people amp fans and their energ…,1596,148,12822952,TheRock
984795264580923392,2018-04-13 14:07:42,Tune in TONIGHT UK 🇬🇧 Always GREAT to come back home to the couch And for the record I wrestle alligators not cr…,2872,231,12822952,TheRock
984760005470502914,2018-04-13 11:47:35,Our is excited to partner with to bring you a compelling and important docuseries about change…,3145,341,12822952,TheRock
984758700727390209,2018-04-13 11:42:24,Wow Muito Obrigado BRAZIL for the RAMPAGE LOVE Seeing it on IMAX is an eerience you’ll never forget Thank you a…,2730,256,12822952,TheRock
984533897823293441,2018-04-12 20:49:07,TONIGHT Thurs the earth shakes and you go on the insanely fun ride that is RAMPAGE 🦍,4199,522,12822952,TheRock
984471304261787648,2018-04-12 16:40:24,Always get lots of questions about our company’s growth and goals Here’s a great interview from when she…,1736,179,12822952,TheRock
984469277829890050,2018-04-12 16:32:21,You’re the best brother Goot Have fun seeing RAMPAGE I warn you now prepare thyself for one helluva non stop r…,1446,103,12822952,TheRock
984468358291705858,2018-04-12 16:28:41,Always a good time w my bud  Thx man for connecting the lovely and myself Never knew how…,772,71,12822952,TheRock
984466826934538242,2018-04-12 16:22:36,Night to remember Love you back London I’ll see you soon when we shoot the Hobbs Fast amp Furious spinoff here late…,1823,181,12822952,TheRock
984411356735647746,2018-04-12 12:42:11,ExciteBike That was my fucking jam brother,730,33,12822952,TheRock
984410492654571520,2018-04-12 12:38:45,Thanks for the great RAMPAGE review  “Ridiculously Fun” was my goal posts Mahalo for not taki…,1922,216,12822952,TheRock
984408799032369153,2018-04-12 12:32:01,Wow thanks for the ⭐️⭐️⭐️⭐️ RAMPAGE review and calling it “brilliant” Last time I got a brilliant grade was for my…,3448,285,12822952,TheRock
984401158545526784,2018-04-12 12:01:40,RAMPAGE “Best video game movie ever made” Thanks for the great review Hey I starre…,3448,419,12822952,TheRock
984398701958455296,2018-04-12 11:51:54,Great RAMPAGE review from my fellow Science majors We wanted to utilize real CRISPR technology as our scientific b…,2953,457,12822952,TheRock
984397728355667968,2018-04-12 11:48:02,“Giant smashy beasties” is the name of my new KPop band I’m starting Thanks for the great review RAMPAGE,4969,693,12822952,TheRock
984394581302226946,2018-04-12 11:35:32,RT  Go see  and those big a monsters for one big fun actionfilled movie in RAMPAGE  NOW PLAYING in cinemas nat…,0,269,12822952,TheRock
984393640234618881,2018-04-12 11:31:47,Just stopped by our biggest store in SHANGHAI Thank you all for making our ChaseGreatnessCollection…,1946,239,12822952,TheRock
984349480957902848,2018-04-12 08:36:19,Good to meet ya,398,10,12822952,TheRock
984349126996480001,2018-04-12 08:34:54,No spoilers Glad you had a blast dude RAMPAGE,809,68,12822952,TheRock
984348502624030722,2018-04-12 08:32:25,Always good catching your lens amigo Fun night and thanks for the great shots LondonPremiere RAMPAGE,2099,175,12822952,TheRock
984348115636539392,2018-04-12 08:30:53,Thank you sir for joining us Escapism and entertaining fun is always my “goal posts” LondonPremiere RAMPAGE,1028,88,12822952,TheRock
984347615612555264,2018-04-12 08:28:54,Good times with this madman 🤣 Thx for wiping my brow buddy and see you on the flip side Great job hosti…,929,95,12822952,TheRock
984238396473335809,2018-04-12 01:14:54,RT  Now that’s a nice time from a nice guy giving 5 bucks toward every Rampage ticket you buy Enjoy the movie x…,0,81,12822952,TheRock
984228082780397568,2018-04-12 00:33:55,Everyone wins As I promised as a consolation prize for those who didn’t win the 300K today on  I’m giv…,1630,253,12822952,TheRock
984223863239307264,2018-04-12 00:17:09,🤣 Let me assist this very important global poll I’m both Dad and Daddy depending on who I’m interacting with and h…,19752,3118,12822952,TheRock
984203343491944449,2018-04-11 22:55:37,224M people played today to win the 300000 Incredible and congrats to the winners We’ll do it again soon…,5658,351,12822952,TheRock
984203340497195010,2018-04-11 22:55:36, Laughed cried screamed and loved I’ll take it Such a fun night here in London RAMPAGE,954,91,12822952,TheRock
984203337187909633,2018-04-11 22:55:35,Muchas gracias my friend Enjoy the movie with the fans Rampage,1109,111,12822952,TheRock
984203332813312000,2018-04-11 22:55:34,As always great to talk w you LIVE Gabby as well as Mexico and all of Latin America Thank you everyone for your…,919,105,12822952,TheRock
